census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,total_population,white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_or_latino_pct,foreign_born_pct,under_18_pct,source_id
1600000US2717630,place,27,17630,"East Gull Lake city, Minnesota",2024,1076,96.654,0.0,0.372,2.138,1.766,14.684,acs5_2024_place_demographics
1600000US2717738,place,27,17738,"Easton city, Minnesota",2024,178,98.315,0.0,0.0,0.0,0.0,29.213,acs5_2024_place_demographics
1600000US2717882,place,27,17882,"Ebro CDP, Minnesota",2024,75,13.333,0.0,0.0,9.333,2.667,53.333,acs5_2024_place_demographics
1600000US2717900,place,27,17900,"Echo city, Minnesota",2024,197,77.157,2.03,2.538,0.0,0.0,11.675,acs5_2024_place_demographics
1600000US2718116,place,27,18116,"Eden Prairie city, Minnesota",2024,63051,70.33,5.716,13.081,5.14,16.284,23.012,acs5_2024_place_demographics
1600000US2718134,place,27,18134,"Eden Valley city, Minnesota",2024,1002,96.008,0.2,0.0,3.992,1.397,31.637,acs5_2024_place_demographics
1600000US2718152,place,27,18152,"Edgerton city, Minnesota",2024,1104,88.587,0.0,3.442,4.348,2.717,21.467,acs5_2024_place_demographics
1600000US2718188,place,27,18188,"Edina city, Minnesota",2024,53262,80.78,3.113,7.014,3.804,9.41,22.399,acs5_2024_place_demographics
1600000US2718260,place,27,18260,"Effie city, Minnesota",2024,77,81.818,0.0,0.0,0.0,0.0,15.584,acs5_2024_place_demographics
1600000US2718368,place,27,18368,"Eitzen city, Minnesota",2024,281,90.391,0.0,0.356,0.0,0.712,33.096,acs5_2024_place_demographics
1600000US2718386,place,27,18386,"Elba city, Minnesota",2024,102,97.059,0.0,0.0,2.941,0.0,3.922,acs5_2024_place_demographics
1600000US2718440,place,27,18440,"Elbow Lake CDP, Minnesota",2024,76,18.421,0.0,0.0,0.0,0.0,27.632,acs5_2024_place_demographics
1600000US2718458,place,27,18458,"Elbow Lake city, Minnesota",2024,1301,93.236,0.0,0.0,2.537,0.307,27.133,acs5_2024_place_demographics
1600000US2718530,place,27,18530,"Elgin city, Minnesota",2024,1116,93.548,0.0,0.0,4.211,0.358,26.344,acs5_2024_place_demographics
1600000US2718566,place,27,18566,"Elizabeth city, Minnesota",2024,122,97.541,0.0,0.0,0.82,8.197,29.508,acs5_2024_place_demographics
1600000US2718662,place,27,18662,"Elko New Market city, Minnesota",2024,5002,79.808,9.696,1.399,5.758,5.338,32.587,acs5_2024_place_demographics
1600000US2718674,place,27,18674,"Elk River city, Minnesota",2024,26793,83.865,4.789,1.732,3.557,5.819,24.85,acs5_2024_place_demographics
