District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
870,Union County,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
870,Union County,Students with Disabilities,15,88,11.8,13.6,12.1,14,13.1,<1%,<1%,>99%,>99%
880,Van Buren County,All Students,50,100,19.5,18.9,20.7,18.6,19.6,23,46,23,46
880,Van Buren County,Black/Hispanic/Native American,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
880,Van Buren County,Economically Disadvantaged,23,100,18.4,17.9,19.7,17.6,18.6,8,34.8,15,65.2
880,Van Buren County,Students with Disabilities,5,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
890,Warren County,All Students,406,100,17.6,17.7,18.9,18.8,18.4,129,31.8,236,58.1
890,Warren County,Black/Hispanic/Native American,118,100,15.7,16.6,17.5,17.2,16.9,29,24.6,79,66.9
890,Warren County,Economically Disadvantaged,161,100,16.4,16.8,17.9,18.3,17.5,41,25.5,106,65.8
890,Warren County,English Learners,25,100,12.2,15,14.2,16.2,14.6,2,8,22,88
890,Warren County,Students with Disabilities,40,100,11.8,14.1,13.1,15.4,13.7,2,5,38,95
900,Washington County,All Students,642,99,19.2,18.6,20.1,19.2,19.4,251,39.1,308,48
900,Washington County,Black/Hispanic/Native American,55,100,16.6,17.3,18.4,17.1,17.4,15,27.3,35,63.6
900,Washington County,Economically Disadvantaged,149,99,16.7,16.7,18,17.3,17.3,36,24.2,98,65.8
900,Washington County,English Learners,11,100,12.7,15.3,13.5,14.5,14.1,1,9.1,10,90.9
900,Washington County,Students with Disabilities,77,99,13.8,15.2,15.2,15.9,15.2,6,7.8,68,88.3
901,Johnson City,All Students,593,99,20,20.6,21.5,20.7,20.8,295,49.7,244,41.1
901,Johnson City,Black/Hispanic/Native American,175,98,16.7,17.6,18.8,18.3,18,48,27.4,111,63.4
901,Johnson City,Economically Disadvantaged,235,99,15.9,17,17.8,17.8,17.3,52,22.1,157,66.8
901,Johnson City,English Learners,37,97,12.8,15.4,14.9,16.4,14.9,2,5.4,33,89.2
901,Johnson City,Students with Disabilities,55,98,13.1,14.6,14.2,16,14.6,3,5.5,51,92.7
910,Wayne County,All Students,138,100,17.3,17.5,19.1,18.3,18.2,40,29,76,55.1
910,Wayne County,Black/Hispanic/Native American,9,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
910,Wayne County,Economically Disadvantaged,43,100,15.2,15.6,16.3,16.4,16,4,9.3,34,79.1
910,Wayne County,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
910,Wayne County,Students with Disabilities,13,100,12.3,14.8,14,16.8,14.8,1,7.7,12,92.3
920,Weakley County,All Students,244,98,18.9,18.9,19.9,20,19.6,94,38.5,107,43.9
920,Weakley County,Black/Hispanic/Native American,43,91,15.4,16,16.1,17.8,16.5,6,14,30,69.8
