#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"ACT","Highest","2024-25","617","Burke County","0288","Burke County High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","617","Burke County","0288","Burke County High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","617","Burke County","0288","Burke County High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","617","Burke County","0288","Burke County High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","617","Burke County","0288","Burke County High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","618","Butts County","0190","Jackson High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","618","Butts County","0190","Jackson High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","618","Butts County","0190","Jackson High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","618","Butts County","0190","Jackson High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","618","Butts County","0190","Jackson High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","618","Butts County","0190","Jackson High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","619","Calhoun County","0113","Calhoun County High School","All Students","Composite","1380130.","12390","13","13","19.4","21.5","13.7","13.7"
"ACT","Highest","2024-25","619","Calhoun County","0113","Calhoun County High School","All Students","English","1380130.","12389","13","13","18.4","20.7","12.3","12.3"
"ACT","Highest","2024-25","619","Calhoun County","0113","Calhoun County High School","All Students","Mathematics","1380130.","12389","13","13","18.9","20.7","15.5","15.5"
"ACT","Highest","2024-25","619","Calhoun County","0113","Calhoun County High School","All Students","Reading","1380130.","12389","13","13","20","22.7","13.5","13.5"
"ACT","Highest","2024-25","619","Calhoun County","0113","Calhoun County High School","All Students","Science","1380130.","12190","10","10","19.6","21.6","14.2","14.2"
"ACT","Highest","2024-25","619","Calhoun County","0113","Calhoun County High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","620","Camden County","0295","Camden County High School","All Students","Composite","1380130.","12390","37","37","19.4","21.5","22.8","22.8"
"ACT","Highest","2024-25","620","Camden County","0295","Camden County High School","All Students","English","1380130.","12389","37","37","18.4","20.7","21.2","21.2"
"ACT","Highest","2024-25","620","Camden County","0295","Camden County High School","All Students","Mathematics","1380130.","12389","37","37","18.9","20.7","22.2","22.2"
"ACT","Highest","2024-25","620","Camden County","0295","Camden County High School","All Students","Reading","1380130.","12389","37","37","20","22.7","23.9","23.9"
"ACT","Highest","2024-25","620","Camden County","0295","Camden County High School","All Students","Science","1380130.","12190","36","36","19.6","21.6","23.6","23.6"
"ACT","Highest","2024-25","620","Camden County","0295","Camden County High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","621","Candler County","0101","Metter High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","621","Candler County","0101","Metter High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","621","Candler County","0101","Metter High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","621","Candler County","0101","Metter High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","621","Candler County","0101","Metter High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","621","Candler County","0101","Metter High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","622","Carroll County","0189","Temple High School","All Students","Composite","1380130.","12390","60","TFS","19.4","21.5","20.9","TFS"
"ACT","Highest","2024-25","622","Carroll County","0189","Temple High School","All Students","English","1380130.","12389","60","TFS","18.4","20.7","19.9","TFS"
"ACT","Highest","2024-25","622","Carroll County","0189","Temple High School","All Students","Mathematics","1380130.","12389","60","TFS","18.9","20.7","20.7","TFS"
"ACT","Highest","2024-25","622","Carroll County","0189","Temple High School","All Students","Reading","1380130.","12389","60","TFS","20","22.7","22.2","TFS"
"ACT","Highest","2024-25","622","Carroll County","0189","Temple High School","All Students","Science","1380130.","12190","60","TFS","19.6","21.6","20.6","TFS"
